Date,Open,High,Low,Close
2023-01-02,13.708,13.708,13.688,13.688
2023-01-03,13.688,13.76,13.688,13.76
2023-01-04,13.79,13.8,13.79,13.8
2023-01-05,13.736,13.765,13.73,13.73
2023-01-06,13.745,13.745,13.73,13.73
2023-01-09,13.713,13.755,13.713,13.72
2023-01-10,13.688,13.75,13.688,13.73
2023-01-11,13.709,13.73,13.709,13.73
2023-01-12,13.74,13.74,13.735,13.735
2023-01-13,13.732,13.745,13.715,13.715
2023-01-16,13.715,13.74,13.715,13.74
2023-01-17,13.738,13.738,13.7,13.7
2023-01-18,13.711,13.711,13.69,13.69
2023-01-19,13.686,13.72,13.686,13.7
2023-01-20,13.694,13.694,13.68,13.685
2023-01-23,13.687,13.7,13.687,13.695
2023-01-24,13.7,13.705,13.69,13.69
2023-01-25,13.68,13.69,13.68,13.69
2023-01-26,13.68,13.7,13.68,13.7
2023-01-27,13.69,13.71,13.69,13.71
2023-01-30,13.708,13.72,13.708,13.72
2023-01-31,13.714,13.715,13.71,13.71
2023-02-01,13.714,13.735,13.714,13.735
2023-02-02,13.736,13.736,13.725,13.725
2023-02-03,13.724,13.755,13.724,13.755
2023-02-06,13.767,13.81,13.767,13.8
2023-02-07,13.784,13.784,13.755,13.755
2023-02-08,13.749,13.749,13.73,13.73
2023-02-09,13.716,13.716,13.68,13.68
2023-02-10,13.69,13.695,13.67,13.695
2023-02-13,13.696,13.7,13.69,13.7
2023-02-14,13.68,13.68,13.68,13.68
2023-02-15,13.67,13.67,13.65,13.65
2023-02-16,13.64,13.645,13.64,13.645
2023-02-17,13.621,13.635,13.621,13.635
2023-02-22,13.628,13.64,13.628,13.64
2023-02-23,13.642,13.655,13.642,13.65
2023-02-24,13.653,13.655,13.653,13.655
2023-02-27,13.671,13.671,13.65,13.65
2023-02-28,13.65,13.66,13.65,13.65
2023-03-01,13.649,13.649,13.635,13.635
2023-03-02,13.634,13.635,13.634,13.635
2023-03-03,13.645,13.65,13.64,13.64
2023-03-06,13.645,13.645,13.61,13.61
2023-03-07,13.616,13.616,13.59,13.59
2023-03-08,13.587,13.587,13.575,13.575
2023-03-09,13.571,13.58,13.565,13.565
2023-03-10,13.561,13.6,13.561,13.6
2023-03-13,13.599,13.599,13.54,13.54
2023-03-14,13.547,13.569,13.547,13.555
2023-03-15,13.569,13.569,13.543,13.543
2023-03-16,13.543,13.585,13.535,13.585
2023-03-17,13.569,13.59,13.569,13.585
2023-03-20,13.571,13.58,13.571,13.575
2023-03-21,13.569,13.59,13.569,13.59
2023-03-22,13.584,13.585,13.575,13.575
2023-03-23,13.62,13.625,13.62,13.625
2023-03-24,13.619,13.619,13.6,13.6
2023-03-27,13.575,13.605,13.575,13.605
2023-03-28,13.425,13.425,13.425,13.425
2023-03-29,13.43,13.43,13.43,13.43
2023-03-30,13.4,13.4,13.4,13.4
2023-03-31,13.42,13.42,13.42,13.42
2023-04-03,13.425,13.425,13.4,13.4
2023-04-04,13.445,13.445,13.44,13.44
2023-04-05,13.44,13.635,13.44,13.44
2023-04-06,13.45,13.495,13.45,13.495
2023-04-10,13.49,13.49,13.475,13.475
2023-04-11,13.425,13.425,13.415,13.415
2023-04-12,13.42,13.435,13.42,13.435
2023-04-13,13.44,13.45,13.44,13.45
2023-04-14,13.46,13.465,13.46,13.465
2023-04-17,13.475,13.475,13.475,13.475
2023-04-18,13.51,13.51,13.505,13.505
2023-04-19,13.515,13.515,13.515,13.515
2023-04-20,13.51,13.53,13.51,13.53
2023-04-24,13.52,13.52,13.515,13.515
2023-04-25,13.48,13.48,13.48,13.48
2023-04-26,13.49,13.51,13.49,13.51
2023-04-27,13.5,13.5,13.5,13.5
2023-04-28,13.53,13.53,13.53,13.53
2023-05-02,13.53,13.53,13.51,13.51
2023-05-03,13.515,13.515,13.515,13.515
2023-05-04,13.515,13.525,13.515,13.525
2023-05-05,13.53,13.53,13.53,13.53
2023-05-08,13.535,13.545,13.535,13.545
2023-05-09,13.555,13.56,13.555,13.56
2023-05-10,13.555,13.57,13.555,13.57
2023-05-11,13.55,13.55,13.55,13.55
2023-05-12,13.565,13.57,13.565,13.57
2023-05-15,13.57,13.575,13.57,13.575
2023-05-16,13.57,13.575,13.57,13.575
2023-05-17,13.58,13.58,13.58,13.58
2023-05-18,13.57,13.575,13.57,13.575
2023-05-19,13.585,13.585,13.58,13.58
2023-05-22,13.585,13.585,13.56,13.56
2023-05-23,13.585,13.585,13.575,13.575
2023-05-24,13.57,13.57,13.55,13.55
2023-05-25,13.52,13.52,13.51,13.51
2023-05-26,13.515,13.515,13.505,13.505
2023-05-29,13.505,13.51,13.505,13.51
2023-05-30,13.505,13.505,13.505,13.505
2023-05-31,13.51,13.51,13.505,13.505
2023-06-01,13.51,13.51,13.505,13.505
2023-06-02,13.5,13.505,13.5,13.505
2023-06-05,13.52,13.52,13.495,13.495
2023-06-06,13.48,13.49,13.48,13.49
2023-06-07,13.465,13.465,13.465,13.465
2023-06-09,13.45,13.45,13.44,13.44
2023-06-12,13.415,13.425,13.415,13.425
2023-06-13,13.385,13.41,13.385,13.41
2023-06-14,13.395,13.41,13.395,13.41
2023-06-15,13.375,13.375,13.375,13.375
2023-06-16,13.4,13.4,13.395,13.395
2023-06-19,13.39,13.39,13.39,13.39
2023-06-20,13.395,13.395,13.345,13.345
2023-06-21,13.39,13.39,13.385,13.385
2023-06-22,13.42,13.42,13.415,13.415
2023-06-23,13.395,13.395,13.385,13.385
2023-06-26,13.3,13.385,13.3,13.385
2023-06-27,13.38,13.38,13.33,13.33
2023-06-28,13.33,13.335,13.33,13.335
2023-06-29,13.33,13.33,13.27,13.27
2023-06-30,12.785,12.825,12.785,12.825
2023-07-03,12.76,12.76,12.755,12.755
2023-07-04,12.775,12.79,12.775,12.79
2023-07-05,12.79,12.795,12.79,12.795
2023-07-06,12.83,12.865,12.83,12.865
2023-07-07,12.815,12.815,12.78,12.78
2023-07-10,12.82,12.82,12.815,12.815
2023-07-11,12.865,12.865,12.84,12.84
2023-07-12,12.825,12.84,12.825,12.84
2023-07-13,12.79,12.815,12.79,12.815
2023-07-14,12.815,12.845,12.815,12.845
2023-07-17,12.84,12.84,12.81,12.81
2023-07-18,12.79,12.79,12.775,12.775
2023-07-19,12.77,12.77,12.76,12.76
2023-07-20,12.78,12.785,12.78,12.785
2023-07-21,12.73,12.73,12.7,12.7
2023-07-24,12.725,12.725,12.725,12.725
2023-07-25,12.645,12.65,12.645,12.65
2023-07-26,12.635,12.635,12.635,12.635
2023-07-27,12.62,12.62,12.62,12.62
2023-07-28,12.645,12.645,12.645,12.645
2023-07-31,12.615,12.615,12.595,12.595
2023-08-01,12.645,12.645,12.615,12.615
2023-08-02,12.65,12.665,12.65,12.665
2023-08-03,12.47,12.47,12.47,12.47
2023-08-04,12.48,12.48,12.47,12.47
2023-08-07,12.49,12.495,12.49,12.495
2023-08-08,12.48,12.48,12.47,12.47
2023-08-09,12.46,12.465,12.46,12.465
2023-08-10,12.445,12.445,12.445,12.445
2023-08-11,12.415,12.425,12.415,12.425
2023-08-14,12.455,12.455,12.445,12.445
2023-08-15,12.445,12.445,12.445,12.445
2023-08-16,12.415,12.415,12.415,12.415
2023-08-17,12.41,12.425,12.41,12.425
2023-08-18,12.425,12.425,12.41,12.41
2023-08-21,12.43,12.43,12.43,12.43
2023-08-22,12.415,12.415,12.4,12.4
2023-08-23,12.39,12.4,12.39,12.4
2023-08-24,12.405,12.405,12.39,12.39
2023-08-25,12.415,12.415,12.415,12.415
2023-08-28,12.415,12.415,12.405,12.405
2023-08-29,12.4,12.4,12.395,12.395
2023-08-30,12.375,12.375,12.36,12.36
2023-08-31,12.37,12.38,12.37,12.38
2023-09-01,12.39,12.39,12.39,12.39
2023-09-04,12.375,12.375,12.375,12.375
2023-09-05,12.37,12.385,12.37,12.385
2023-09-06,12.36,12.375,12.36,12.375
2023-09-08,12.36,12.36,12.35,12.35
2023-09-11,12.345,12.345,12.33,12.33
2023-09-12,12.285,12.3,12.285,12.3
2023-09-13,12.29,12.29,12.275,12.275
2023-09-14,12.278,12.28,12.278,12.28
2023-09-15,12.28,12.28,12.27,12.27
2023-09-18,12.275,12.28,12.275,12.28
2023-09-19,12.255,12.255,12.255,12.255
2023-09-20,12.235,12.235,12.23,12.23
2023-09-21,12.25,12.255,12.25,12.255
2023-09-22,12.23,12.235,12.23,12.235
2023-09-25,11.7,11.7,11.7,11.7
2023-09-26,11.71,11.71,11.7,11.7
2023-09-27,11.7,11.755,11.7,11.755
2023-09-28,11.755,11.805,11.755,11.805
2023-09-29,11.795,11.795,11.795,11.795
2023-10-02,11.845,11.845,11.845,11.845
2023-10-03,11.835,11.835,11.82,11.82
2023-10-04,11.79,11.79,11.775,11.775
2023-10-05,11.775,11.775,11.77,11.77
2023-10-06,11.825,11.825,11.79,11.79
2023-10-09,11.785,11.785,11.785,11.785
2023-10-10,11.77,11.77,11.765,11.765
2023-10-11,11.785,11.8,11.785,11.8
2023-10-13,11.825,11.825,11.825,11.825
2023-10-16,11.78,11.78,11.77,11.77
2023-10-17,11.755,11.775,11.755,11.775
2023-10-18,11.755,11.755,11.755,11.755
2023-10-19,11.75,11.76,11.75,11.76
2023-10-20,11.735,11.735,11.73,11.73
2023-10-23,11.74,11.74,11.695,11.695
2023-10-24,11.68,11.685,11.68,11.685
2023-10-25,11.69,11.695,11.69,11.695
2023-10-26,11.655,11.655,11.64,11.64
2023-10-27,11.645,11.665,11.645,11.665
2023-10-30,11.67,11.68,11.67,11.68
2023-10-31,11.675,11.675,11.64,11.64
2023-11-01,11.61,11.61,11.605,11.605
2023-11-03,11.54,11.55,11.54,11.55
2023-11-06,11.555,11.555,11.555,11.555
2023-11-07,11.5,11.51,11.5,11.51
2023-11-08,11.485,11.485,11.47,11.47
2023-11-09,11.475,11.49,11.475,11.49
2023-11-10,11.45,11.45,11.45,11.45
2023-11-13,11.445,11.47,11.445,11.47
2023-11-14,11.445,11.445,11.41,11.41
2023-11-16,11.41,11.45,11.41,11.45
2023-11-17,11.435,11.435,11.38,11.38
2023-11-20,11.375,11.385,11.375,11.385
2023-11-21,11.39,11.4,11.39,11.4
2023-11-22,11.395,11.395,11.395,11.395
2023-11-23,11.385,11.385,11.385,11.385
2023-11-24,11.38,11.38,11.375,11.375
2023-11-27,11.37,11.375,11.37,11.375
2023-11-28,11.35,11.35,11.345,11.345
2023-11-29,11.325,11.325,11.325,11.325
2023-11-30,11.315,11.315,11.295,11.295
2023-12-01,11.285,11.285,11.285,11.285
2023-12-04,11.29,11.29,11.285,11.285
2023-12-05,11.235,11.235,11.235,11.235
2023-12-06,11.235,11.24,11.235,11.24
2023-12-07,11.235,11.235,11.225,11.225
2023-12-08,11.22,11.235,11.22,11.235
2023-12-11,11.24,11.24,11.24,11.24
2023-12-12,11.225,11.225,11.22,11.22
2023-12-13,11.19,11.19,11.185,11.185
2023-12-14,11.175,11.175,11.175,11.175
2023-12-15,11.17,11.17,11.145,11.145
2023-12-18,11.145,11.145,11.14,11.14
2023-12-19,11.16,11.17,11.16,11.17
2023-12-20,11.21,11.26,11.21,11.26
2023-12-21,11.26,11.26,11.26,11.26
2023-12-22,11.25,11.255,11.25,11.255
2023-12-26,11.24,11.24,11.24,11.24
2023-12-27,11.21,11.21,11.11,11.11
2023-12-28,11.11,11.11,11.11,11.11
2024-01-02,10.675,10.675,10.62,10.62
2024-01-03,10.755,10.755,10.755,10.755
2024-01-04,10.735,10.735,10.735,10.735
2024-01-05,10.755,10.755,10.75,10.75
2024-01-08,10.745,10.75,10.745,10.75
2024-01-09,10.75,10.75,10.735,10.735
2024-01-10,10.7,10.71,10.7,10.71
2024-01-11,10.67,10.67,10.67,10.67
2024-01-12,10.63,10.63,10.63,10.63
2024-01-15,10.665,10.665,10.64,10.64
2024-01-16,10.645,10.645,10.645,10.645
2024-01-17,10.605,10.605,10.605,10.605
2024-01-18,10.6,10.605,10.6,10.605
2024-01-19,10.59,10.6,10.59,10.6
2024-01-22,10.605,10.605,10.605,10.605
2024-01-23,10.62,10.62,10.62,10.62
2024-01-24,10.605,10.64,10.605,10.64
2024-01-25,10.63,10.665,10.63,10.665
2024-01-26,10.635,10.635,10.635,10.635
2024-01-29,10.63,10.63,10.63,10.63
2024-01-30,10.64,10.65,10.64,10.65
2024-01-31,10.64,10.64,10.615,10.615
2024-02-01,10.61,10.61,10.61,10.61
2024-02-02,10.59,10.62,10.59,10.62
2024-02-05,10.62,10.62,10.605,10.605
2024-02-06,10.585,10.585,10.58,10.58
2024-02-07,10.58,10.58,10.58,10.58
2024-02-08,10.595,10.595,10.595,10.595
2024-02-09,10.59,10.59,10.59,10.59
2024-02-14,10.585,10.585,10.585,10.585
2024-02-15,10.535,10.535,10.535,10.535
2024-02-16,10.54,10.56,10.54,10.56
2024-02-19,10.555,10.555,10.55,10.55
2024-02-20,10.545,10.545,10.54,10.54
2024-02-21,10.535,10.535,10.53,10.53
2024-02-22,10.53,10.53,10.515,10.515
2024-02-23,10.505,10.505,10.505,10.505
2024-02-26,10.51,10.51,10.485,10.485
2024-02-27,10.48,10.48,10.46,10.46
2024-02-28,10.455,10.455,10.455,10.455
2024-02-29,10.45,10.45,10.45,10.45
2024-03-01,10.445,10.445,10.435,10.435
2024-03-04,10.425,10.43,10.425,10.43
2024-03-05,10.43,10.43,10.415,10.415
2024-03-06,10.39,10.4,10.39,10.4
2024-03-07,10.38,10.385,10.38,10.385
2024-03-08,10.38,10.38,10.38,10.38
2024-03-11,10.37,10.37,10.34,10.34
2024-03-12,10.33,10.335,10.33,10.335
2024-03-13,10.23,10.23,10.23,10.23
2024-03-14,10.265,10.265,10.24,10.24
2024-03-15,10.24,10.24,10.24,10.24
2024-03-18,10.245,10.245,10.245,10.245
2024-03-19,10.235,10.235,10.235,10.235
2024-03-20,10.19,10.19,10.19,10.19
2024-03-21,10.17,10.175,10.17,10.175
2024-03-22,10.165,10.165,10.145,10.145
2024-03-25,10.155,10.16,10.11,10.11
2024-03-26,10.105,10.11,10.105,10.11
2024-03-27,10.105,10.105,10.05,10.05
2024-03-28,10.05,10.05,10.035,10.035
2024-04-01,9.95,9.97,9.95,9.97
2024-04-02,9.98,9.98,9.98,9.98
2024-04-03,10.015,10.015,10.015,10.015
2024-04-11,10.05,10.05,10.05,10.05
2024-04-12,10.04,10.04,10.03,10.03
2024-04-15,10.095,10.095,10.095,10.095
2024-04-16,10.185,10.215,10.185,10.215
2024-04-17,10.21,10.365,10.21,10.365
2024-04-18,10.32,10.35,10.32,10.35
2024-04-19,10.32,10.32,10.305,10.305
2024-04-22,10.275,10.275,10.275,10.275
2024-04-23,10.275,10.275,10.215,10.215
2024-04-24,10.317,10.317,10.317,10.317
2024-04-25,10.317,10.379,10.145,10.205
2024-04-26,10.11,10.13,10.1,10.11
2024-04-29,10.085,10.214,10.07,10.07
2024-04-30,10.135,10.17,10.135,10.15
2024-05-02,10.15,10.15,10.12,10.12
2024-05-03,10.08,10.115,10.07,10.07
2024-05-06,10.105,10.155,10.105,10.12
2024-05-07,10.135,10.135,10.105,10.13
2024-05-08,10.115,10.115,10.105,10.105
2024-05-09,10.16,10.16,10.145,10.145
2024-05-10,10.14,10.165,10.14,10.165
2024-05-13,10.205,10.255,10.205,10.255
2024-05-14,10.265,10.28,10.265,10.28
2024-05-15,10.29,10.29,10.29,10.29
2024-05-16,10.285,10.29,10.285,10.29
2024-05-17,10.305,10.305,10.305,10.305
2024-05-20,10.315,10.315,10.315,10.315
2024-05-21,10.285,10.302,10.285,10.295
2024-05-22,10.315,10.315,10.315,10.315
2024-05-23,10.31,10.31,10.31,10.31
2024-05-24,10.31,10.31,10.31,10.31
2024-05-27,10.325,10.325,10.295,10.295
2024-05-28,10.265,10.275,10.265,10.275
2024-05-29,10.32,10.32,10.32,10.32
2024-05-31,10.335,10.335,10.315,10.315
2024-06-03,10.305,10.305,10.305,10.305
2024-06-04,10.275,10.3,10.275,10.3
2024-06-06,10.335,10.335,10.31,10.325
2024-06-07,10.32,10.32,10.32,10.32
2024-06-10,10.515,10.515,10.515,10.515
2024-06-11,10.46,10.46,10.455,10.455
2024-06-12,10.475,10.51,10.468,10.51
2024-06-13,10.53,10.53,10.475,10.475
2024-06-14,10.475,10.485,10.475,10.485
2024-06-17,10.51,10.51,10.51,10.51
2024-06-18,10.535,10.535,10.495,10.495
2024-06-19,10.53,10.57,10.53,10.57
2024-06-20,10.495,10.5,10.495,10.5
2024-06-21,10.48,10.48,10.445,10.445
2024-06-24,10.42,10.445,10.42,10.445
2024-06-25,10.45,10.46,10.45,10.46
2024-06-26,10.505,10.505,10.5,10.5
2024-06-27,10.515,10.53,10.515,10.53
2024-06-28,10.575,10.575,10.575,10.575
2024-07-01,10.715,10.715,10.715,10.715
2024-07-02,10.75,10.765,10.75,10.765
2024-07-03,10.66,10.66,10.625,10.625
2024-07-04,10.585,10.585,10.585,10.585
2024-07-05,10.565,10.565,10.52,10.52
2024-07-08,10.545,10.545,10.525,10.525
2024-07-09,10.53,10.535,10.53,10.535
2024-07-10,10.47,10.47,10.47,10.47
2024-07-11,10.47,10.475,10.47,10.475
2024-07-12,10.535,10.535,10.5,10.5
2024-07-15,10.545,10.545,10.53,10.53
2024-07-16,10.485,10.51,10.485,10.51
2024-07-17,10.53,10.53,10.525,10.525
2024-07-18,10.615,10.615,10.615,10.615
2024-07-19,10.58,10.58,10.575,10.575
2024-07-22,10.59,10.595,10.59,10.595
2024-07-23,10.61,10.61,10.595,10.595
2024-07-24,10.615,10.615,10.605,10.605
2024-07-25,10.65,10.675,10.65,10.675
2024-07-26,10.67,10.675,10.67,10.675
2024-07-29,10.65,10.65,10.64,10.64
2024-07-30,10.645,10.645,10.62,10.62
2024-07-31,10.615,10.635,10.615,10.635
2024-08-01,10.555,10.585,10.555,10.585
2024-08-02,10.525,10.525,10.48,10.48
2024-08-05,10.455,10.485,10.455,10.485
2024-08-06,10.545,10.58,10.545,10.58
2024-08-07,10.585,10.585,10.585,10.585
2024-08-08,10.62,10.62,10.62,10.62
2024-08-09,10.7,10.7,10.635,10.635
2024-08-12,10.595,10.625,10.595,10.625
2024-08-13,10.645,10.645,10.645,10.645
2024-08-14,10.64,10.65,10.64,10.65
2024-08-15,10.695,10.7,10.695,10.7
2024-08-16,11.065,11.155,11.065,11.155
2024-08-19,11.155,11.155,11.135,11.135
2024-08-20,11.105,11.11,11.105,11.11
2024-08-21,11.11,11.11,11.055,11.055
2024-08-22,11.105,11.135,11.105,11.135
2024-08-23,11.095,11.095,11.085,11.085
2024-08-26,11.05,11.08,11.05,11.08
2024-08-27,11.155,11.195,11.155,11.195
2024-08-28,11.185,11.25,11.185,11.25
2024-08-29,11.31,11.36,11.31,11.36
2024-08-30,11.43,11.43,11.38,11.38
2024-09-02,11.31,11.325,11.31,11.325
2024-09-03,11.4,11.4,11.345,11.345
2024-09-04,11.315,11.315,11.28,11.28
2024-09-05,11.235,11.24,11.235,11.24
2024-09-06,11.19,11.245,11.19,11.245
2024-09-09,11.245,11.26,11.245,11.26
2024-09-10,11.24,11.24,11.235,11.235
2024-09-11,11.25,11.26,11.244,11.26
2024-09-12,11.315,11.315,11.31,11.31
2024-09-13,11.3,11.305,11.3,11.305
2024-09-16,11.315,11.315,11.315,11.315
2024-09-17,11.32,11.325,11.32,11.325
2024-09-18,11.29,11.29,11.255,11.255
2024-09-19,11.41,11.41,11.39,11.39
2024-09-20,11.425,11.45,11.425,11.45
2024-09-23,11.475,11.49,11.475,11.49
2024-09-24,11.46,11.46,11.4,11.4
2024-09-25,11.38,11.38,11.38,11.38
2024-09-26,11.395,11.43,11.395,11.43
2024-09-27,11.46,11.46,11.436,11.44
2024-09-30,11.46,11.5,11.46,11.5
2024-10-01,11.485,11.485,11.48,11.48
2024-10-02,11.475,11.475,11.454,11.47
2024-10-03,11.475,11.485,11.475,11.485
2024-10-04,11.515,11.555,11.488,11.555
2024-10-07,11.59,11.59,11.575,11.575
2024-10-08,11.58,11.58,11.568,11.57
2024-10-09,11.575,11.63,11.567,11.63
2024-10-10,11.615,11.65,11.615,11.65
2024-10-11,11.66,11.695,11.66,11.695
2024-10-14,11.695,11.695,11.645,11.645
2024-10-15,11.66,11.66,11.66,11.66
2024-10-16,11.725,11.725,11.665,11.665
2024-10-17,11.71,11.71,11.71,11.71
2024-10-18,11.705,11.72,11.705,11.72
2024-10-21,11.71,11.71,11.7,11.7
2024-10-22,11.705,11.705,11.695,11.695
2024-10-23,11.715,11.735,11.715,11.735
2024-10-24,11.71,11.71,11.685,11.685
2024-10-25,11.72,11.72,11.72,11.72
2024-10-28,11.735,11.75,11.735,11.75
2024-10-29,11.745,11.76,11.745,11.76
2024-10-30,11.77,11.77,11.77,11.77
2024-10-31,11.76,11.775,11.76,11.775
2024-11-01,11.81,11.885,11.81,11.885
2024-11-04,11.88,11.885,11.88,11.885
2024-11-05,11.905,11.905,11.87,11.87
2024-11-06,11.925,11.925,11.87,11.87
2024-11-07,11.925,11.955,11.925,11.955
2024-11-08,11.98,11.98,11.98,11.98
2024-11-11,11.99,11.99,11.985,11.985
2024-11-12,11.93,11.97,11.929,11.97
2024-11-14,11.955,12.005,11.945,11.975
2024-11-18,12.56,12.585,12.56,12.585
2024-11-19,12.605,12.605,12.545,12.555
2024-11-21,12.565,12.565,12.53,12.535
2024-11-22,12.585,12.623,12.53,12.573
2024-11-25,12.61,12.62,12.6,12.6
2024-11-27,12.625,12.805,12.61,12.79
2024-11-28,12.895,13.01,12.895,12.995
2024-11-29,13.27,13.27,13.14,13.14
2024-12-02,13.015,13.05,12.975,12.975
2024-12-03,13.115,13.125,13.09,13.105
2024-12-04,13.15,13.185,13.15,13.175
2024-12-05,13.165,13.2,13.165,13.195
2024-12-06,13.187,13.33,13.187,13.33
2024-12-09,13.35,13.465,13.35,13.4
2024-12-10,13.325,13.448,13.325,13.395
2024-12-11,13.405,13.405,13.365,13.405
2024-12-12,13.36,13.725,13.352,13.352
2024-12-13,13.785,13.8,13.352,13.765
2024-12-16,13.92,13.92,13.92,13.92
2024-12-17,13.94,13.96,13.915,13.925
2024-12-18,14.045,14.155,13.861,14.11
2024-12-19,14.5,14.5,14.082,14.082
2024-12-20,14.25,14.33,14.055,14.08
2024-12-26,14.225,14.295,14.168,14.21
2024-12-27,14.168,14.295,14.168,14.175
2024-12-30,14.198,14.205,14.195,14.2
2025-01-02,14.125,14.135,14.035,14.1
2025-01-03,14.03,14.06,13.99,14.02
2025-01-06,14.005,14.005,13.98,13.99
2025-01-07,13.97,14.04,13.965,13.965
2025-01-08,14.0,14.04,13.98,13.985
2025-01-09,13.95,14.01,13.95,13.955
2025-01-10,14.005,14.03,13.955,14.005
2025-01-13,14.015,14.02,13.975,14.005
2025-01-14,13.96,13.98,13.95,13.975
2025-01-15,13.96,13.98,13.935,13.935
2025-01-16,13.975,13.98,13.94,13.98
2025-01-17,13.97,13.98,13.94,13.962
2025-01-20,13.991,14.035,13.981,14.0
2025-01-21,14.015,14.015,13.985,14.005
2025-01-22,14.0,14.0,13.965,13.965
2025-01-23,13.99,14.02,13.99,14.01
2025-01-24,14.075,14.075,14.055,14.055
2025-01-27,14.059,14.094,14.059,14.094
2025-01-28,14.095,14.125,14.07,14.07
2025-01-29,14.12,14.125,14.105,14.125
2025-01-30,14.055,14.055,14.04,14.04
2025-01-31,14.065,14.075,14.05,14.065
2025-02-03,14.075,14.085,14.075,14.075
2025-02-04,14.1,14.11,14.095,14.095
2025-02-05,14.115,14.125,14.096,14.108
2025-02-06,14.13,14.13,14.098,14.115
2025-02-07,14.125,14.15,14.099,14.13
2025-02-10,14.12,14.15,14.113,14.136
2025-02-11,14.136,14.15,14.13,14.13
2025-02-12,14.122,14.155,14.115,14.115
2025-02-13,14.115,14.135,14.115,14.123
2025-02-14,14.135,14.135,14.12,14.12
2025-02-17,14.12,14.135,14.105,14.105
2025-02-18,14.105,14.12,14.095,14.105
2025-02-19,14.105,14.12,14.097,14.12
2025-02-20,14.14,14.15,14.115,14.15
2025-02-21,14.15,14.155,14.085,14.11
2025-02-24,14.125,14.155,14.085,14.115
2025-02-25,14.14,14.145,14.12,14.144
2025-02-26,14.155,14.205,14.155,14.2
2025-02-27,14.185,14.239,14.155,14.235
2025-02-28,14.24,14.29,14.24,14.27
2025-03-05,14.23,14.29,14.23,14.245
2025-03-06,14.245,14.265,14.22,14.22
2025-03-07,14.235,14.26,14.215,14.215
2025-03-10,14.228,14.26,14.215,14.22
2025-03-11,14.213,14.25,14.2,14.213
2025-03-12,14.205,14.205,14.17,14.187
2025-03-13,14.19,14.22,14.169,14.22
2025-03-14,14.184,14.23,14.184,14.187
2025-03-17,14.22,14.24,14.19,14.19
2025-03-18,14.22,14.24,14.19,14.23
2025-03-19,14.255,14.265,14.202,14.245
2025-03-20,14.245,14.375,14.235,14.345
2025-03-21,14.35,14.385,14.243,14.343
2025-03-24,14.4,14.45,14.365,14.395
2025-03-25,14.37,14.44,14.365,14.372
2025-03-26,14.376,14.445,14.376,14.41
2025-03-27,14.375,14.375,14.375,14.375
